vin,brand,model,year,color
1FBNE3BL1CD405671,Land Rover,Range Rover,1995,Yellow
WVGEG9BP7CD202326,Land Rover,Range Rover,2006,Turquoise
SCFFDABM8DG571898,Lincoln,Town Car,2004,Blue
1GYS4TKJ2FR944613,Buick,LaCrosse,2006,Khaki
1G6AD5S31D0082214,Pontiac,Grand Prix,1972,Yellow
WBSBR93411E742311,BMW,5 Series,1998,Pink
SCFAB01A47G776849,Audi,A8,2007,Turquoise
WAUMF98K79A037965,Audi,R8,2011,Indigo
JA32U1FU5DU670539,Acura,RL,2005,Crimson
1C3CDFBBXFD022676,Toyota,T100 Xtra,1997,Blue
2C3CDXGJ4FH034864,Subaru,Legacy,2000,Aquamarine
1FTWF3D5XAE978605,Chevrolet,Camaro,1982,Orange
3D4PG6FV9AT207994,Suzuki,Sidekick,1995,Turquoise
1LNHL9DRXBG824634,Chrysler,300M,2000,Puce
1VWAS7A3XFC134759,Aston Martin,DB9,2008,Teal
JN8AZ2KR3AT679364,Subaru,Legacy,2000,Green
WBAVD53557A703254,Chevrolet,Tracker,2004,Turquoise
1G6DV5EP1A0651325,Audi,Cabriolet,1998,Pink
WBA3B3C5XFF404961,Acura,RL,1997,Violet
5FRYD4H48GB800996,Lexus,ES,1990,Crimson
2HNYD28218H647890,Dodge,Grand Caravan,1997,Puce
5N1AA0ND6EN838956,Subaru,Impreza,1999,Khaki
WAUSH78E47A626517,Mercury,Tracer,1993,Blue
5TDBKRFH0FS467011,Mitsubishi,Lancer Evolution,2010,Puce
WAULFAFR1DA064147,Ford,Ranger,2009,Fuscia
WAUDG78E55A685441,Land Rover,Range Rover,1989,Purple
5UXFA13535L606319,Dodge,Viper,1999,Red
1G4HK5ES4BU243015,Volvo,940,1993,Teal
1G6DH1E37E0195074,Dodge,Ram Van 1500,1999,Purple
1N6AA0CJ3DN013773,Honda,Civic,1999,Violet
3D7JV1EP3AG723992,Pontiac,Grand Prix,1997,Indigo
1GYS3HEF2CR027478,Mercedes-Benz,Sprinter 2500,2012,Maroon
SCFAD02A85G033035,Buick,Rainier,2007,Teal
1C3BCBFG6EN666214,Buick,Regal,1993,Yellow
WAUWFAFH6DN715978,Ford,Escape,2003,Yellow
1GYS4KEF2CR529286,Subaru,Impreza,2012,Pink
WAU2MAFC3FN025763,Pontiac,Firebird,1996,Maroon
WAUBH74F28N927442,Volvo,S80,2003,Violet
3GYFNJE36DS067134,Honda,Element,2006,Crimson
JN1AJ0HP1CM139931,Honda,Accord Crosstour,2011,Turquoise
JH4KB16648C519016,Acura,SLX,1999,Aquamarine
1G6YV36AX65095168,Audi,5000CS Quattro,1986,Khaki
1G4PS5SK9E4685714,Buick,Terraza,2006,Yellow
WAURV78TX9A667159,Lincoln,Town Car,2007,Khaki
3VW4A7AT8DM648900,GMC,Yukon XL 1500,2003,Mauv
19UYA42613A673081,Toyota,Avalon,2010,Yellow
1N6AF0KX7FN763591,Mazda,B-Series,1990,Pink
1N6AF0KXXFN113993,Nissan,Murano,2003,Pink
WAULH54B61N838629,Jeep,Patriot,2012,Puce
WBANF33557B281236,Dodge,Neon,2003,Purple
1N4AL2AP7CN094183,Ford,Escort,1988,Goldenrod
WBALZ3C58CC975552,Jeep,Compass,2007,Khaki
5J6TF1H52DL741072,GMC,Yukon,2007,Indigo
1N6AA0CC7CN575224,Subaru,Baja,2004,Orange
KMHGH4JF8BU623598,Cadillac,XLR,2004,Maroon
19UUA66295A741258,Chevrolet,TrailBlazer,2006,Yellow
WAUKH68D91A531878,Chevrolet,Silverado 2500,2001,Mauv
1G4GC5G33EF160246,Cadillac,Seville,1999,Orange
KNAFZ6A30F5873476,Dodge,Durango,2012,Purple
JN1CV6EK8DM683949,Land Rover,LR3,2007,Goldenrod
WBALW7C58CD946269,Jensen,Interceptor,1967,Goldenrod
1FTEX1CM6DF104787,Cadillac,Escalade ESV,2011,Teal
