people_id	car_vin
846f6401-1dae-42b1-a235-902bc08ed425	WBAKG1C57CJ635228
10cc0987-5526-49da-a64d-7a8cf747c494	WBA3T3C50EJ245411
f710552e-7132-4761-99f6-4fdb75a7202a	5N1AZ2MH0FN336423
4b2a4044-f919-45b5-9d94-9468aa9f83e2	1C4RDHDG6EC982060
a1c67736-fe70-40b3-9b3e-8e9d6bac06b8	1GD11ZCG8DF030635
1b6a5ba5-a93e-48d6-a81b-c70cfcaa1d66	WBADT33432G408265
cca576f1-84f0-43f0-9a44-a70f14e7751d	SCFAB42353K738027
8c4c3365-1c5a-4343-82e4-6bf29dec39dd	1G6DK5EV4A0661144
0c323a54-029c-4edc-b0e3-2c743e2b8e81	19UUA8F24DA369502
c91b9dde-7b7e-402c-884d-5785480b058b	1C6RD6FK2CS521521
9b714e04-5988-4cce-920f-5b712101d162	YV4902DZ7E2336703
48dc5bbf-b472-48b3-87d0-3288e8e64627	3C3CFFCR8DT495702
f0b43a8f-fdd1-41fd-9805-2bcc2dee4dc3	WBXPC93487W901796
311d3814-913e-41dc-8953-d621592a3bc7	WBAPL33539A844858
02044596-3355-40e5-a166-98c3003db1b5	JN8AZ2KR4BT615352
5306207b-8bc8-4877-aaa7-d60d04364038	4T1BF3EK3BU533924
ad603e2f-43d8-47a5-9717-ec597dd2919a	WBANA73565C566279
82a35962-a20b-4c92-bd9b-3dce61b94e21	WBAFB33511L524106
fb89233d-041e-4c0c-bf93-ecd510f4e0d2	1FTEX1CM9DK779623
1c97e551-1389-4848-8100-a5199c585dfe	WBAYB6C50DC650441
672ab6c8-2e75-4272-97ca-53604e2208b6	3FA6P0PU0ER911599
ab5c7a82-90d7-4fdb-b34b-1e5fb20a4704	1FTKR1AD6BP993792
f34d27ff-662f-4ff1-a582-2424a57e1f15	4USBT33453L055881
1e25ee5e-1112-45cf-a95c-fe49d1a81d85	5N1AN0NW8DN417082
b9b7fe45-5b01-4979-82f0-a05c6f6144d3	1GKS1CE0XER038827
daa49239-5aac-414a-b40b-ae6b02989868	5UMBT93506L956531
0f64e635-d16d-4d70-ac6f-f30812a5a76a	SCFAD01A36G137726
c9bdd9f6-46fc-4240-b44f-6b1d18c4c251	1GYFC16229R005848
9155a3ec-303d-4c5a-b1fd-327e062556a6	WVGEF9BP1DD235259
e5805a29-951e-47ee-a5ac-33c68236252d	1FTKR1AD5AP666122
91b7782b-fa24-4fd2-916e-a779078d1671	2V4RW3D13AR357406
1fee22f1-166c-40c7-9402-d240da1484de	WAUAGAFD3EN760446
336c1955-3d09-4fb2-a7c7-c1bdc76942d1	1FTWW3B50AE944370
8ad45774-b737-4c66-a241-84d3fa647cc8	3FA6P0SU4DR157113
cd542545-0f0a-4783-abf4-6d4e56c1ca60	KNDMB5C19F6185734
3d512ed8-e435-41fe-ac53-646edd46681a	1G6DG8E52C0759028
c74d56f2-315b-49ef-a581-478063d92ea8	5N1AR1NB5CC007647
65235300-109c-45f4-9583-e2d7bfecf4ec	1GD11ZCG4CF567498
60066e99-c571-40c9-9a72-c641dca3e199	3N1AB6AP8AL038287
d50500e8-39e7-4b5a-a925-8f205ffeabd6	1GYUKHEF8AR092280
b06aa90c-2300-4695-9eca-b9dd8dbc6f38	WDDEJ9EB5EA142983
11e6e802-8909-426d-a645-f85bcf66319f	WA1EY74L57D947740
1256f366-96f2-4f3a-89fa-018835a9fcbd	3GYVKLEF1AG082424
8203bba7-3c34-4e55-8bb8-9fcc71afe429	WUAGNAFG1BN998226
272fa8d1-0b36-4df0-9493-4699eb67aa40	3GTU1YEJ6BG982145
9ba71bf8-1023-4cda-ad86-732241ecc017	WBAUT9C55BA274602
df320b96-966c-42b9-ba64-e2ac2f253397	WVGAV3AX5DW273582
dc9bbd9e-e446-4917-bd87-1aece9abee70	1GYS3KEF1CR989011
6a1a501f-8742-4b0f-b83a-f131b1388fda	SCFBB03C09G217630
5a231604-dc8e-4bca-a35d-2f2c1ca27c19	5FNYF3H29AB488215
0d7f1832-0a62-4cec-8751-5a224214baa6	1YVHZ8BA1A5461655
cc10d8bb-2537-44e8-acc8-17d8b033af1f	WBA3V5C5XEP183129
f15aeca6-9708-47f9-b299-9bd0e8e3083c	4T1BD1EB5EU788167
1721211f-88b4-4ac8-8a7d-6def38dfe00f	WAUDL74F55N153996
c0bb58e0-892e-4af0-84fd-62a68c1f0a36	5UXZW0C54CL636824
7a8b13f0-4521-4440-a7c6-846efb32d98d	WA1CMAFEXDD361237
470ea153-89b2-44ef-9fef-f0d654c0ea7e	JN1CV6EK3CM069034
cfaf02c5-ed86-4839-a80f-981fe78855ae	5J6TF1H50EL670035
197c0baf-3722-4051-957b-fc2f0868567a	JTDKN3DPXD3688547
55ece894-fc2d-447e-8b47-8559aeda2c4b	WAUTFAFH7CN562559
c6436c51-3a17-46e2-aa22-59eff2a711ee	JTHBW1GGXE2301644
69b96a60-ca4c-46ca-b8c6-dc19746cb28e	3C3CFFAR2CT040619
edc789a8-361f-42e7-ba37-275b567438b6	JN1AZ4FH2FM186126
249b4302-feab-4282-9a3c-2dcedcb6ccd1	WAUDF58E55A888773
89252980-8e03-42fe-833a-574568427fdd	WA1YD64B75N077166
2ce7f1c7-14b2-4160-bee4-93491a23bc19	WBAFR9C58CD554828
eb294acf-3abb-4667-bc75-ba72ebbda7bb	JH4CL95915C600529
9c70e933-7c6c-4a31-913a-b81fc06701fe	2G4WS55J531661918
ad765085-9451-45ce-9ee1-f2271498b417	WBAWC3C56AP079660
2820ed80-721a-4a5a-8378-11790a4aafb3	SCFEBBCF6CG628654
33f7b47a-7d30-4025-9e95-ffbe08d519d2	WBAUP93508V010614
5dc604ac-289a-4917-aa50-d4e25c628544	1FTWX3B5XAE245907
4742f24d-c996-4fee-b5fa-e6e661f2b983	1G6DV5EP3E0467039
e3f1603c-afe9-47e7-8a2e-c308e6b8e878	WBAPM5C53BA110901
86604aa0-f32e-42fa-bd29-085a6de7d998	5UXFA135X4L832727
401c63e0-4059-4634-96b5-e412c32f5b56	5GAKVAED9BJ785936
d0da3405-84bd-4efb-a78a-08cfbd413c45	WBALW3C54DC957835
22df95d2-2c2e-4e70-97b2-b0c84103037e	WAUWFAFHXBN149692
5beb3fee-950f-4175-abca-cbc1c9d50ec5	YV140MAK9F1368408
5b9415d1-5b38-4428-9a85-68e6caac90fc	2LMHJ5FK4FB938709
881ec44f-7906-49fa-8594-f82dc32c7bad	4T1BF3EK7BU618328
9fd13d8c-e834-4a8f-bdda-637e4d1ec411	WAUJC58EX4A279334
8e5be7f3-216e-4e2a-a542-7a8b2c61e64f	KMHHT6KD7DU595730
